,uid,artist,title,artist_uri,album_uri,item_uri,tags
1745,132321,Flying Lotus,Clock Catcher,spotify:artist:29XOeO6KIWxGthejQqn793,spotify:album:5c7XChrHxYaqykCZLaGM5f,spotify:track:3C1z7AyGWhSNITaiz5tgws,"['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'hip hop', 'intelligent dance music', 'jazztronica', 'psychedelic hip hop', 'wonky']"
1746,108958,Mary Lou Williams,Credo (Instrumental),spotify:artist:6hrEc1XqVcGLK0Di6zVADR,spotify:album:1KuLMVUjXCTb8hArSPa9S4,spotify:track:6bJL5YKCocxT3FnzZk4Ioe,"['jazz piano', 'stride']"
1747,153399,Helado Negro,Tartamundo,spotify:artist:69qhRLDvsWJOhWGXXQ0lQQ,spotify:album:0ihnWrSHrNgerq3pzJTyDs,spotify:track:77AyTZJecgV4ZFpDdeGs3w,"['art pop', 'deep latin alternative', 'indie folk', 'indie soul']"
1748,148490,Gavin Bryars,BIPED: Part 4,spotify:artist:0lVWTWT1YdiNwuW9Gv3mUF,,,"['bow pop', 'british contemporary classical', 'compositional ambient', 'contemporary classical', 'minimalism', 'post-minimalism']"
1749,153710,Lovozero,Chervi,spotify:artist:5Kizoedqao0qedB9pp0sBb,spotify:album:6B8uIq2APhTzkuRXj3ehFS,spotify:track:0uZmNRMxRtCQqI8NMrkwBI,['russian experimental electronic']
1750,140178,Raymond Scott,The Bass-Line Generator,spotify:artist:31DffUzogcRBJT3Andaqtt,spotify:album:7ctcZZGbNxjwHb46pMRZ7D,spotify:track:7iyzuMwMFMO7xj7QOpJ0DV,"['acousmatic', 'exotica', 'laboratorio', 'lounge', 'moog', 'space age pop', 'theme']"
1751,152575,Sona Jobarteh,Mamamuso,spotify:artist:7JksKqLDuYE8QYj2WjiNQr,spotify:album:7h7MgG54nO4RvaPj01CEX6,spotify:track:2NtyDSaFqIDYbEohwT2PaP,"['afropop', 'gambian pop', 'kora', 'mande pop', 'world']"
1752,140829,Meredith Monk,Astronaut Anthem,spotify:artist:1WN9bXZmI41JB1tCmrSC3M,spotify:album:4aiBF5WbiV0wdyyfg4AJxi,spotify:track:3QpBVVnt2M2MPZKI9VrqdY,"['american contemporary classical', 'avant-garde', 'compositional ambient', 'contemporary classical', 'experimental', 'experimental vocal', 'minimalism']"
1753,152668,Ellen Reid,Fear | Release,spotify:artist:2loCFiR2ceRiH6Md3KVvjw,spotify:album:6hcfrg6RHrr4oL3JFSmsfq,spotify:track:69aiUIqxT27hacPzZR3Lnp,[]
1754,140549,Andrew Norman,The Companion Guide to Rome: IX. Sabina,spotify:artist:03aBQuQe8ppZQ4vEnP1z45,spotify:album:52txOcT3JsDTr6HOot05dj,spotify:track:0DSHXBu6QrremW9uNK5oX1,['american 21st century classical']
